anthropometric_measurement,garment_measurement,tolerance
162.8,132,30.8
128.3,124.4,3.9
171,142.2,28.8
173,95.8,77.2
175.1,150.1,25
167.7,130,37.7
172,127,45
174,147.3,26.7
169.5,137.1,32.4
169.3,109.6,59.7
163,123.5,39.5
181.5,168,13.5
155.4,140,15.4
159.8,139.1,20.7
165,142.5,22.5
160.1,143.5,16.6
162.2,124.5,37.7
167.8,133.1,34.7
178,162.7,15.3
170.4,140.5,29.9
162,105,57
159,104.9,54.1
175.2,106,69.2
178,136,42
152.1,135.1,17
149.7,139.5,10.2
171.5,159.5,12
170.3,142,28.3
158.8,138,20.8
181.5,153.5,28
172,132.8,39.2
173.5,152.5,21
164.6,130.5,34.1
166,139,27
172.5,137.3,35.2
157.5,132.3,25.2
170.5,133,37.5
172.2,117.1,55.1
162.8,112.8,50
128.3,86.2,42.1
171,96.5,74.5
173,93.5,79.5
175.1,148.5,26.6
167.7,138,29.7
172,91.5,80.5
174,132.1,41.9
169.5,85.9,83.6
169.3,129.8,39.5
163,125.9,37.1
181.5,170,11.5
155.4,143,12.4
159.8,138.5,21.3
165,152,13
160.1,140,20.1
162.2,91.4,70.8
167.8,135,32.8
178,134,44
170.4,140.5,29.9
162,146,16
159,132.7,26.3
175.2,116.4,58.8
178,142.3,35.7
152.1,142.5,9.6
149.7,141.5,8.2
171.5,160,11.5
170.3,141,29.3
158.8,103.2,55.6
181.5,159,22.5
172,133.2,38.8
173.5,147,26.5
164.6,128,36.6
166,140,26
172.5,106.8,65.7
157.5,136.5,21
170.5,145.5,25
172.2,134.8,37.4
162.8,127,35.8
128.3,101.7,26.6
171,121.9,49.1
173,129.5,43.5
175.1,152.3,22.8
167.7,140,27.7
172,106.5,65.5
174,96.5,77.5
169.5,140,29.5
169.3,123.4,45.9
163,121.7,41.3
181.5,172.1,9.4
155.4,132,23.4
159.8,140.8,19
165,152,13
160.1,139.7,20.4
162.2,116.9,45.3
167.8,137,30.8
178,133,45
170.4,112.6,57.8
162,135,27
159,122.5,36.5
175.2,127.3,47.9
178,111.8,66.2
152.1,125.8,26.3
149.7,137.8,11.9
171.5,165,6.5
170.3,145,25.3
158.8,114.8,44
181.5,160,21.5
172,138.5,33.5
173.5,153,20.5
164.6,122,42.6
166,136,30
172.5,122,50.5
157.5,136.8,20.7
170.5,151,19.5
172.2,129.6,42.6
162.8,137.1,25.7
128.3,116.8,11.5
171,111.7,59.3
173,123.4,49.6
175.1,151,24.1
167.7,129,38.7
172,116.8,55.2
174,117,57
169.5,142.9,26.6
169.3,125.9,43.4
163,128,35
181.5,169.8,11.7
155.4,137,18.4
159.8,139.9,19.9
165,149.3,15.7
160.1,141.2,18.9
162.2,126.9,35.3
167.8,131,36.8
178,143,35
170.4,138.4,32
162,140,22
159,106.2,52.8
175.2,122.5,52.7
178,116.9,61.1
152.1,130.5,21.6
149.7,135,14.7
171.5,163.7,7.8
170.3,151,19.3
158.8,129.5,29.3
181.5,158.4,23.1
172,132.8,39.2
173.5,149.4,24.1
164.6,130.2,34.4
166,138.7,27.3
172.5,132.2,40.3
157.5,130.5,27
170.5,145.5,25
172.2,135.3,36.9
