anthropometric_measurement,garment_measurement,tolerance
48,78.8,30.8
33,63.5,30.5
42,71.1,29.1
41.3,64.9,23.6
46,70.5,24.5
50.2,84.5,34.3
46,71.6,25.6
46.2,78.7,32.5
43.5,102.8,59.3
46,73.8,27.8
45,83.6,38.6
51.5,85.5,34
42,64,22
40,63,23
45.2,70,24.8
47,75,28
43.1,76.2,33.1
46.7,70,23.3
46,66,20
53,76.5,23.5
47,70.5,23.5
46.3,85.4,39.1
42.8,77.5,34.7
49.5,77.5,28
39,72,33
45.5,67,21.5
51,80,29
49,61,12
43,64.7,21.7
43,70.7,27.7
48.5,75.2,26.7
53,86.5,33.5
45.6,56,10.4
47.6,74,26.4
43,66.1,23.1
43,66.5,23.5
53,70,17
42,66,24
48,81.2,33.2
33,61,28
42,73.6,31.6
41.3,65.7,24.4
46,69.7,23.7
50.2,74.5,24.3
46,68.5,22.5
46.2,76.2,30
43.5,100.3,56.8
46,68.8,22.8
45,77,32
51.5,87,35.5
42,75,33
40,59.6,19.6
45.2,69,23.8
47,70.9,23.9
43.1,71,27.9
46.7,67,20.3
46,70,24
53,78.5,25.5
47,73,26
46.3,77.6,31.3
42.8,76.5,33.7
49.5,76.2,26.7
39,65.2,26.2
45.5,66,20.5
51,77.5,26.5
49,60,11
43,68.9,25.9
43,69.2,26.2
48.5,67,18.5
53,71.3,18.3
45.6,54.6,9
47.6,70.2,22.6
43,68.6,25.6
43,68.3,25.3
53,74.5,21.5
42,79.9,37.9
48,76.2,28.2
33,66,33
42,68.6,26.6
41.3,69,27.7
46,72,26
50.2,80,29.8
46,73.6,27.6
46.2,81.3,35.1
43.5,69.3,25.8
46,72.1,26.1
45,80.6,35.6
51.5,89.4,37.9
42,74,32
40,72.6,32.6
45.2,66,20.8
47,65,18
43.1,71.5,28.4
46.7,69,22.3
46,67,21
53,82,29
47,65,18
46.3,85.4,39.1
42.8,76,33.2
49.5,77.5,28
39,70.5,31.5
45.5,71.5,26
51,83.6,32.6
49,70,21
43,75.3,32.3
43,72.5,29.5
48.5,69.7,21.2
53,75,22
45.6,64,18.4
47.6,69.8,22.2
43,71.2,28.2
43,71.1,28.1
53,71.5,18.5
42,79,37
48,80,32
33,58.4,25.4
42,63.5,21.5
41.3,61,19.7
46,70.9,24.9
50.2,77,26.8
46,71.8,25.8
46.2,83.8,37.6
43.5,75.2,31.7
46,69.8,23.8
45,82.5,37.5
51.5,86.3,34.8
42,68,26
40,71.7,31.7
45.2,67.8,22.6
47,59,12
43.1,78.8,35.7
46.7,68.7,22
46,62,16
53,80.3,27.3
47,72,25
46.3,86.9,40.6
42.8,78,35.2
49.5,78.7,29.2
39,68.3,29.3
45.5,71,25.5
51,79,28
49,66,17
43,67.3,24.3
43,71.8,28.8
48.5,67,18.5
53,81.5,28.5
45.6,66,20.4
47.6,72,24.4
43,63.6,20.6
43,65,22
53,65,12
42,77.6,35.6
