anthropometric_measurement,garment_measurement,tolerance
63.5,55.8,7.7
55,55.4,0.4
63.5,63.5,0
63.5,38.9,24.6
62,64,2
59.5,61,1.5
64,54.7,9.3
64,63.9,0.1
58.7,63.5,4.8
61,39.5,21.5
58.5,59,0.5
62,68,6
62,60,2
57.5,59.1,1.6
60,58,2
56.8,56.5,0.3
62.5,54.7,7.8
59,55.5,3.5
65.5,69,3.5
66,60.5,5.5
56.5,41,15.5
64.9,40.4,24.5
64,41,23
64.4,57.9,6.5
55,56.4,1.4
57.2,58.5,1.3
65,65,0
61.5,59.6,1.9
57.5,55.8,1.7
67.7,67.2,0.5
61.5,50.5,11
63,62,1
64,56,8
54.5,58,3.5
65,58.5,6.5
57.5,53,4.5
63,62,1
63.3,48.7,14.6
63.5,43.1,20.4
55,30.5,24.5
63.5,48.3,15.2
63.5,38.4,25.1
62,60.8,1.2
59.5,67.4,7.9
64,35.6,28.4
64,55.8,8.2
58.7,40.8,17.9
61,62,1
58.5,56.7,1.8
62,70.2,8.2
62,61.5,0.5
57.5,60.2,2.7
60,62,2
56.8,55.7,1.1
62.5,35.6,26.9
59,58,1
65.5,55,10.5
66,57.7,8.3
56.5,60,3.5
64.9,55.9,9
64,48.5,15.5
64.4,61,3.4
55,59.7,4.7
57.2,56.9,0.3
65,67.5,2.5
61.5,59,2.5
57.5,42.6,14.9
67.7,67,0.7
61.5,51.5,10
63,63.5,0.5
64,54.6,9.4
54.5,60,5.5
65,43.3,21.7
57.5,54.7,2.8
63,57.9,5.1
63.3,56.9,6.4
63.5,50.8,12.7
55,45.8,9.2
63.5,58.4,5.1
63.5,56,7.5
62,62,0
59.5,64,4.5
64,45.8,18.2
64,43.2,20.8
58.7,59,0.3
61,62,1
58.5,58.9,0.4
62,71,9
62,55,7
57.5,59.7,2.2
60,63,3
56.8,54.7,2.1
62.5,43.3,19.2
59,59,0
65.5,53,12.5
66,44.5,21.5
56.5,58,1.5
64.9,50.8,14.1
64,53.5,10.5
64.4,46.8,17.6
55,49.1,5.9
57.2,55.8,1.4
65,66.8,1.8
61.5,59.5,2
57.5,52.6,4.9
67.7,66,1.7
61.5,56,5.5
63,63.5,0.5
64,55,9
54.5,57.5,3
65,50.8,14.2
57.5,55,2.5
63,63,0
63.3,53.4,9.9
63.5,58.5,5
55,50.8,4.2
63.5,65.3,1.8
63.5,50.8,12.7
62,63.3,1.3
59.5,68,8.5
64,49.6,14.4
64,53.8,10.2
58.7,65.1,6.4
61,58.3,2.7
58.5,62.1,3.6
62,69.6,7.6
62,58.5,3.5
57.5,58.6,1.1
60,67.8,7.8
56.8,59,2.2
62.5,50.7,11.8
59,56.3,2.7
65.5,60,5.5
66,55.9,10.1
56.5,59.8,3.3
64.9,43.4,21.5
64,50.9,13.1
64.4,60.8,3.6
55,55.8,0.8
57.2,53.5,3.7
65,68.2,3.2
61.5,62.7,1.2
57.5,76.4,18.9
67.7,69.3,1.6
61.5,56,5.5
63,60,3
64,56,8
54.5,58.3,3.8
65,56,9
57.5,51.1,6.4
63,60.4,2.6
63.3,54.5,8.8
