anthropometric_measurement,garment_measurement,tolerance
38.7,63.5,24.8
26,63.5,37.5
34,63.4,29.4
26.2,35,8.8
29.8,58,28.2
30.5,55,24.5
30,61,31
33.4,63.5,30.1
31.9,42.6,10.7
33,49.1,16.1
29,45,16
31.5,46,14.5
37,55,18
29.5,60.6,31.1
28,58,30
34,64.5,30.5
32.5,55.9,23.4
31.5,60,28.5
27.3,69,41.7
45.5,59.5,14
28.5,45,16.5
39.9,50.3,10.4
29,48.7,19.7
43.5,55.7,12.2
29,51.9,22.9
33.2,59,25.8
37,50,13
30,59.5,29.5
34,64.4,30.4
30.3,60.2,29.9
33.4,50,16.6
38,61.5,23.5
30.5,67.2,36.7
34,61.2,27.2
35.5,71.2,35.7
28.7,78,49.3
34.5,65,30.5
28.5,53.1,24.6
38.7,76.1,37.4
26,66.1,40.1
34,76.2,42.2
26.2,36.8,10.6
29.8,62.4,32.6
30.5,56,25.5
30,71.1,41.1
33.4,56,22.6
31.9,40,8.1
33,58.4,25.4
29,49,20
31.5,50,18.5
37,54,17
29.5,59.5,30
28,62,34
34,65.7,31.7
32.5,71.1,38.6
31.5,58,26.5
27.3,55,27.7
45.5,58.5,13
28.5,44,15.5
39.9,65.5,25.6
29,63.5,34.5
43.5,61.5,18
29,55.2,26.2
33.2,63.8,30.6
37,54,17
30,60.5,30.5
34,43.3,9.3
30.3,60,29.7
33.4,52.3,18.9
38,55,17
30.5,72.5,42
34,62,28
35.5,76.2,40.7
28.7,81,52.3
34.5,53,18.5
28.5,62.4,33.9
38.7,58.4,19.7
26,56,30
26.2,46,19.8
29.8,60.7,30.9
30.5,57,26.5
30,55.8,25.8
33.4,76.2,42.8
31.9,47.5,15.6
29,47,18
31.5,52.5,21
37,57,20
29.5,56.3,26.8
28,63,35
34,61.9,27.9
32.5,50.8,18.3
31.5,61,29.5
27.3,65,37.7
45.5,46.5,1
28.5,44.5,16
39.9,62.9,23
29,56,27
43.5,71.6,28.1
29,55.7,26.7
33.2,60,26.8
37,60,23
30,55,25
34,52,18
30.3,62,31.7
33.4,53.5,20.1
38,53,15
30.5,67.8,37.3
34,59.7,25.7
35.5,56,20.5
28.7,62.3,33.6
34.5,60,25.5
28.5,56.7,28.2
38.7,66,27.3
26,58.5,32.5
34,55.9,21.9
26.2,48.2,22
29.8,61.2,31.4
30.5,59,28.5
30,63.6,33.6
33.4,66,32.6
31.9,50.3,18.4
33,57.5,24.5
29,50,21
31.5,47.4,15.9
37,56,19
29.5,58.8,29.3
28,60.5,32.5
34,63,29
32.5,61,28.5
31.5,61.7,30.2
27.3,66.5,39.2
45.5,52.8,7.3
28.5,46,17.5
39.9,49.7,9.8
29,62,33
43.5,66,22.5
29,52.1,23.1
33.2,61.9,28.7
37,58.6,21.6
30,59.5,29.5
34,60,26
30.3,61.7,31.4
33.4,52.3,18.9
38,55.5,17.5
30.5,70,39.5
35.5,66.1,30.6
28.7,60.5,31.8
34.5,65.6,31.1
28.5,65,36.5
