anthropometric_measurement,garment_measurement,tolerance
51,63.5,12.5
41.5,59.8,18.3
51,68.6,17.6
45.7,54.9,9.2
48,65.5,17.5
52,64,12
45.5,62.3,16.8
47.7,64.8,17.1
51.5,65,13.5
48.9,74.2,25.3
44.5,69.5,25
48,62,14
53,62.5,9.5
43.5,63.5,20
46.5,63.5,17
50,60,10
43.8,62.3,18.5
45.5,64,18.5
47,83,36
65,67.2,2.2
44.7,62,17.3
50.4,64.3,13.9
43.3,64,20.7
48,60.5,12.5
48,62.9,14.9
43.1,58.5,15.4
49,67.3,18.3
50.5,65,14.5
48,65.5,17.5
50,66,16
52,61.9,9.9
48.3,68,19.7
47,60.7,13.7
53.5,65,11.5
47.5,63.6,16.1
45,65,20
48,65.8,17.8
46.2,62.8,16.6
51,62.2,11.2
41.5,56,14.5
51,66,15
45.7,64.3,18.6
48,63,15
52,69,17
45.5,58.5,13
47.7,68.5,20.8
51.5,72.5,21
48.9,76.3,27.4
44.5,61.5,17
48,64.5,16.5
53,64.5,11.5
43.5,67.7,24.2
46.5,62,15.5
50,65.1,15.1
43.8,63.5,19.7
45.5,62.5,17
47,73.6,26.6
65,66.5,1.5
44.7,69.5,24.8
50.4,66.9,16.5
43.3,64,20.7
48,63.5,15.5
48,62.5,14.5
43.1,63.7,20.6
49,66,17
50.5,65.5,15
48,61.9,13.9
50,65.5,15.5
52,69,17
48.3,68.5,20.2
47,60,13
53.5,63.4,9.9
47.5,66.1,18.6
45,64,19
48,62.8,14.8
46.2,64.7,18.5
51,66.1,15.1
41.5,58.5,17
51,63.9,12.9
45.7,65,19.3
48,64.9,16.9
52,72,20
45.5,61,15.5
47.7,63.5,15.8
51.5,59.1,7.6
48.9,70.7,21.8
44.5,65.4,20.9
48,65,17
53,64,11
43.5,62,18.5
46.5,64,17.5
50,65.5,15.5
43.8,55.9,12.1
45.5,63,17.5
47,67,20
65,67,2
44.7,66,21.3
50.4,64.3,13.9
43.3,61,17.7
48,59.4,11.4
48,59.3,11.3
43.1,67,23.9
49,66.5,17.5
50.5,63.5,13
48,65.5,17.5
50,67.5,17.5
52,65,13
48.3,65,16.7
47,61.2,14.2
53.5,60.9,7.4
47.5,68.6,21.1
45,64.5,19.5
48,67.5,19.5
46.2,61.2,15
51,61,10
41.5,61,19.5
51,71.1,20.1
45.7,61.1,15.4
48,62.4,14.4
52,61,9
45.5,63.5,18
47.7,67.3,19.6
51.5,65,13.5
48.9,72.4,23.5
44.5,67.2,22.7
48,61.8,13.8
53,63.9,10.9
43.5,67,23.5
46.5,63,16.5
50,63,13
43.8,66,22.2
45.5,65.2,19.7
47,66.8,19.8
65,65.7,0.7
44.7,68,23.3
50.4,67.1,16.7
43.3,66,22.7
48,66.6,18.6
48,60,12
43.1,67.6,24.5
49,65.9,16.9
50.5,63.4,12.9
48,63,15
50,68,18
52,65,13
48.3,69,20.7
47,65.3,18.3
53.5,64.7,11.2
47.5,64.8,17.3
45,66,21
48,68,20
46.2,64.3,18.1
