anthropometric_measurement,garment_measurement,tolerance
98,126.5,28.5
107,129.5,22.5
107.6,108.5,0.9
106,129.7,23.7
96,116.2,20.2
102.5,123.7,21.2
106,138.4,32.4
103,132.5,29.5
104.5,155.8,51.3
98.5,159.3,60.8
111,126,15
98,123,25
98,143,45
101.8,126,24.2
104.9,140.5,35.6
101,124.6,23.6
102,129,27
105.5,134,28.5
112,120.8,8.8
97,107,10
101.5,114.8,13.3
105.8,101.1,-4.7
106,126,20
95.4,124.2,28.8
97.5,139.3,41.8
108.5,126,17.5
106,117,11
100.2,110,9.8
110.5,130,19.5
102,138,36
107.5,147.4,39.9
100,144,44
103.3,131,27.7
107,139.6,32.6
103.5,132,28.5
104.5,134,29.5
104.2,125.1,20.9
98,114.3,16.3
90.5,114.3,23.8
107,116.9,9.9
107.6,129,21.4
106,130,24
96,132,36
102.5,114.5,12
106,143,37
103,119,16
104.5,113,8.5
98.5,120,21.5
111,125,14
98,126.2,28.2
98,119.8,21.8
101.8,124,22.2
104.9,134,29.1
101,114.3,13.3
102,131,29
105.5,126,20.5
112,123.8,11.8
97,133,36
101.5,115.9,14.4
106,140,34
95.4,129,33.6
97.5,133,35.5
108.5,130,21.5
106,122,16
100.2,133,32.8
110.5,132,21.5
102,143,41
107.5,127.7,20.2
100,143,43
103.3,132.6,29.3
107,122.5,15.5
103.5,136.3,32.8
104.5,127.5,23
104.2,120.5,16.3
98,120,22
107,132.1,25.1
107.6,129,21.4
106,127.5,21.5
96,122,26
102.5,127,24.5
106,115.5,9.5
103,124.5,21.5
104.5,115.5,11
98.5,136.1,37.6
111,127.2,16.2
98,128,30
98,120,22
101.8,128,26.2
104.9,134.9,30
101,111.8,10.8
102,135,33
105.5,140,34.5
112,136,24
97,126,29
101.5,116,14.5
105.8,102,-3.8
106,118,12
95.4,135.6,40.2
97.5,119.9,22.4
108.5,110,1.5
106,120,14
100.2,132.5,32.3
110.5,132.5,22
102,126,24
107.5,126,18.5
100,133.5,33.5
103.3,135.5,32.2
107,132.1,25.1
103.5,154,50.5
104.5,132.8,28.3
104.2,118.9,14.7
98,127.1,29.1
107,137.3,30.3
107.6,110,2.4
106,130.7,24.7
96,135,39
102.5,122,19.5
106,142.3,36.3
103,130.4,27.4
104.5,129,24.5
98.5,142,43.5
111,130.1,19.1
98,130.4,32.4
98,127.5,29.5
101.8,125,23.2
104.9,130.5,25.6
101,127,26
102,133.7,31.7
105.5,124.6,19.1
112,128.5,16.5
97,133,36
101.5,114.8,13.3
105.8,114.9,9.1
106,135.8,29.8
95.4,132.4,37
97.5,125,27.5
108.5,128,19.5
106,145.4,39.4
100.2,108.4,8.2
110.5,135.2,24.7
102,143,41
107.5,134.3,26.8
100,135.5,35.5
103.3,130.9,27.6
107,137.2,30.2
103.5,134.5,31
104.5,127,22.5
104.2,124.7,20.5
