anthropometric_measurement,garment_measurement,tolerance
114.7,211,96.3
97,183,86
108.5,218.4,109.9
89.5,163.4,73.9
120.9,197,76.1
105,185.4,80.4
103,228.8,125.8
112.3,175.9,63.6
109.2,163.7,54.5
96.5,164.3,67.8
113,214,101
93.8,190,96.2
104,189,85
111.5,187,75.5
112.5,196.5,84
99.5,208,108.5
85.5,211,125.5
102,190,88
120.8,193.6,72.8
90.6,198.4,107.8
126,210,84
92.5,191,98.5
99.7,178.5,78.8
109,216,107
106.9,197.5,90.6
103.2,206,102.8
105,216.5,111.5
112.5,203.3,90.8
120.8,215,94.2
78.5,193.6,115.1
103.5,197.5,94
112.4,228.6,116.2
102.5,194.5,92
112.5,196,83.5
93.6,214.5,120.9
114.7,200,85.3
97,187.9,90.9
108.5,210,101.5
89.5,175.1,85.6
120.9,201.7,80.8
105,206,101
97,183,86
112.3,186,73.7
109.2,212,102.8
96.5,165.5,69
113,216.9,103.9
97,231.2,134.2
93.8,197.4,103.6
104,205,101
111.5,191.1,79.6
112.5,200,87.5
99.5,211,111.5
102,200,98
120.8,204,83.2
90.6,197.6,107
126,228.8,102.8
92.5,199.5,107
99.7,194,94.3
109,217.5,108.5
106.9,205.5,98.6
103.2,196.9,93.7
105,216.2,111.2
112.5,199.2,86.7
120.8,204.2,83.4
78.5,192.8,114.3
103.5,200,96.5
112.4,218.5,106.1
102.5,193,90.5
112.5,211.2,98.7
93.6,216,122.4
114.7,215,100.3
97,172.8,75.8
108.5,200.5,92
89.5,183,93.5
120.9,199.4,78.5
105,201,96
97,200,103
103,183,80
112.3,205,92.7
109.2,218,108.8
96.5,170,73.5
113,213.7,100.7
97,203,106
93.8,193,99.2
104,205,101
111.5,197,85.5
112.5,198,85.5
99.5,209,109.5
85.5,191,105.5
102,198,96
120.8,197.8,77
90.6,198,107.4
126,220,94
92.5,188,95.5
99.7,184,84.3
109,212,103
106.9,199,92.1
103.2,208.2,105
105,205.5,100.5
112.5,200,87.5
120.8,208,87.2
78.5,188.9,110.4
103.5,201.7,98.2
112.4,213.5,101.1
102.5,200,97.5
112.5,198.8,86.3
93.6,210.9,117.3
114.7,205,90.3
97,177.9,80.9
108.5,220.5,112
89.5,165,75.5
120.9,200,79.1
105,192,87
97,190.5,93.5
103,203.5,100.5
112.3,210.7,98.4
109.2,220.5,111.3
96.5,168.7,72.2
113,211,98
97,228.3,131.3
93.8,195,101.2
104,201,97
111.5,198.5,87
112.5,190,77.5
99.5,213.1,113.6
85.5,194,108.5
102,196,94
120.8,193.6,72.8
90.6,196,105.4
126,230,104
92.5,190.7,98.2
99.7,196,96.3
109,214.1,105.1
106.9,194,87.1
103.2,206.4,103.2
105,210.9,105.9
112.5,203.3,90.8
120.8,215,94.2
78.5,195.5,117
103.5,198.8,95.3
112.4,215.9,103.5
102.5,195.3,92.8
112.5,213,100.5
93.6,214.6,121
